1.43E+12,-31,-8,-31,-15,5,3,-35,-51,0
1.43E+12,8,-51,28,35,4,0,1,-38,0
1.43E+12,20,17,-60,-4,-15,-11,-36,-74,0
1.43E+12,-43,-5,-32,62,14,9,11,4,0
1.43E+12,62,7,13,3,1,2,8,-60,0
1.43E+12,-32,-21,3,36,8,3,4,22,0
1.43E+12,-17,20,12,3,-4,-3,-1,-11,0
1.43E+12,74,47,-6,-5,-2,-1,-37,-74,0
1.43E+12,-47,16,39,-4,11,10,27,47,0
1.43E+12,-11,42,5,14,18,33,111,97,0
1.43E+12,-16,26,9,-29,-3,4,25,35,0
1.43E+12,-1,-22,36,64,4,0,24,9,0
1.43E+12,5,11,-25,3,11,5,-3,-40,0
1.43E+12,-5,12,24,11,-1,-5,-22,-12,0
1.43E+12,17,-25,4,-42,-7,-4,-3,-21,0
1.43E+12,13,40,42,10,6,4,12,28,0
1.43E+12,48,27,47,72,8,1,-2,-32,0
1.43E+12,-19,-2,30,-2,3,-3,-18,-38,0
1.43E+12,4,-27,-24,-41,-22,-8,17,25,0
1.43E+12,-15,-3,29,67,13,5,-26,-46,0
1.43E+12,-2,10,22,-40,-23,-13,-24,-21,0
1.43E+12,-13,-13,44,-36,-8,5,26,-24,0
1.43E+12,25,-32,-60,15,5,-6,-13,-12,0
1.43E+12,-31,-39,17,13,-4,-7,-19,-1,0
1.43E+12,53,36,-12,-5,6,13,56,97,0
1.43E+12,-32,33,-24,25,-7,-7,-1,52,0
1.43E+12,54,5,44,43,4,2,2,63,0
1.43E+12,-6,-11,-8,69,5,-10,-21,36,0
1.43E+12,-22,-18,-3,-48,-23,-22,-74,-99,0
1.43E+12,107,12,-10,22,13,10,1,6,0
1.43E+12,20,33,81,-9,12,4,-26,-8,0
1.43E+12,-78,3,-52,6,-14,-11,-11,-66,0
1.43E+12,81,28,23,77,11,12,33,80,0
1.43E+12,-9,-45,-63,42,6,-7,-25,-23,0
1.43E+12,-14,-52,-3,-54,-5,2,15,8,0
1.43E+12,-4,-12,-115,8,-2,-5,-1,7,0
1.43E+12,2,8,-44,15,-4,-7,-22,-79,0
1.43E+12,-9,-76,-54,-4,-4,-6,9,24,0
1.43E+12,-14,-11,7,-6,3,-4,-37,-62,0
1.43E+12,1,-9,62,-64,-16,-8,-16,-28,0
1.43E+12,-7,-30,17,-9,-7,-12,-32,16,0
1.43E+12,81,-16,74,-29,-10,-8,-58,-104,0
1.43E+12,56,4,-109,-12,-4,-7,1,-2,0
1.43E+12,9,2,-11,17,16,16,63,112,0
1.43E+12,-60,42,-41,-56,-17,-14,-19,-29,0
1.43E+12,19,17,116,24,6,2,2,2,0
1.43E+12,13,29,26,2,5,3,8,12,0
1.43E+12,-20,-18,-1,-44,-2,-2,-32,9,0
1.43E+12,-18,-2,-45,52,18,4,-38,-86,0
1.43E+12,-17,-13,30,25,6,7,65,110,0
1.43E+12,42,0,-47,-106,-22,6,6,17,0
1.43E+12,1,30,41,55,25,9,0,-7,0
1.43E+12,45,-8,-15,-46,-9,2,89,68,0
1.43E+12,-97,32,-32,13,16,1,-51,-79,0
1.43E+12,15,24,49,98,22,-4,-46,-71,0
1.43E+12,42,6,-16,-8,-14,-13,-29,8,0
1.43E+12,-27,6,50,-44,-13,-15,-58,-97,0
1.43E+12,-35,-3,-8,-26,-4,-6,-26,-69,0
1.43E+12,-26,31,11,25,6,3,12,-14,0
1.43E+12,10,0,14,8,2,7,30,23,0
1.43E+12,-71,-42,39,15,-9,2,14,-11,0
1.43E+12,55,17,-25,22,-8,2,-25,-96,0
1.43E+12,21,7,37,46,0,-2,-25,-31,0
1.43E+12,-69,-3,10,1,-3,4,86,99,0
1.43E+12,-10,-12,-57,8,-2,-9,-31,-21,0
1.43E+12,-42,-4,-33,-50,-13,1,36,55,0
1.43E+12,-114,10,8,-11,3,1,-33,-85,0
1.43E+12,-16,-40,-32,-21,-6,-4,-50,-88,0
1.43E+12,-15,32,6,-69,-6,-2,-36,-51,0
1.43E+12,14,-12,66,-26,-4,-3,4,0,0
1.43E+12,16,-3,-81,14,-1,0,17,80,0
1.43E+12,17,-48,63,-16,-22,-16,-29,-57,0
1.43E+12,37,105,33,25,9,5,20,-26,0
1.43E+12,53,23,18,30,6,3,4,30,0
1.43E+12,-42,31,-10,-12,-16,-9,-38,-77,0
1.43E+12,-82,-42,-55,11,7,4,21,40,0
1.43E+12,12,12,-84,-20,-5,2,0,16,0
1.43E+12,18,9,47,2,-1,0,-8,-26,0
1.43E+12,-44,-14,52,-38,-8,-7,-13,-8,0
1.43E+12,8,-6,-21,1,6,6,10,11,0
1.43E+12,7,49,20,-57,-4,-5,-73,-114,0
1.43E+12,-2,6,90,-15,-6,-6,-8,-21,0
1.43E+12,-20,-37,9,6,-3,0,15,-3,0
1.43E+12,6,43,-33,-23,2,-2,-9,-4,0
1.43E+12,-87,25,114,6,-3,0,-8,-21,0
1.43E+12,-41,-70,20,55,5,-5,-46,-123,0
1.43E+12,0,26,16,31,-6,-4,7,17,0
1.43E+12,-40,-2,24,-44,-4,-3,-14,-68,0
1.43E+12,34,-75,23,1,-10,-9,-9,1,0
1.43E+12,-22,1,-35,3,9,6,3,2,0
1.43E+12,-77,17,-20,-30,-8,0,28,78,0
1.43E+12,12,24,-11,8,3,3,2,-10,0
1.43E+12,-4,13,55,-3,0,2,-5,-16,0
1.43E+12,-22,21,-14,6,1,-1,0,4,0
1.43E+12,-1,44,45,41,11,5,-9,-9,0
1.43E+12,41,28,-48,-30,-2,0,-3,-13,0
1.43E+12,54,19,-46,-69,-20,-6,-5,-15,0
1.43E+12,-18,-7,26,41,-3,-7,9,31,0
1.43E+12,22,-28,21,19,9,4,-23,-59,0
1.43E+12,37,48,48,11,5,-6,-33,-37,0
1.43E+12,-31,-19,-51,23,2,-4,-10,-23,0
1.43E+12,-112,-13,45,16,-4,-3,2,-18,0
1.43E+12,90,30,-45,-55,-11,4,26,15,0
1.43E+12,60,-8,30,61,2,-2,-3,19,0
1.43E+12,105,20,64,-48,-16,-6,-19,-71,0
1.43E+12,36,-64,-34,-8,-17,-10,-11,-71,0
1.43E+12,-65,-60,-13,10,0,-6,-34,-83,0
1.43E+12,-90,-101,21,22,13,20,45,-6,0
1.43E+12,100,39,-69,1,-21,-22,4,23,0
1.43E+12,-33,-30,31,-10,2,6,5,21,0
1.43E+12,-31,63,50,-32,-15,-7,8,6,0
1.43E+12,10,38,54,-19,-7,-9,-48,-105,0
1.43E+12,-40,-51,-40,-3,8,-2,-3,-14,0
1.43E+12,-52,-11,-38,9,8,7,9,-22,0
1.43E+12,2,-20,-2,-25,-10,-10,-33,-71,0
1.43E+12,-51,-82,54,4,-22,-11,-9,-36,0
1.43E+12,-1,-13,119,-4,14,3,-35,-38,0
1.43E+12,-47,-78,14,-32,-4,-1,-20,-71,0
1.43E+12,79,10,83,39,14,3,-23,-16,0
1.43E+12,-42,-1,-86,-8,-6,-4,-25,-101,0
1.43E+12,-42,28,-6,-33,-12,-5,-23,-56,0
1.43E+12,-1,20,86,35,-2,-5,-15,-5,0
1.43E+12,20,-3,34,22,23,14,6,7,0
1.43E+12,44,-24,5,66,6,2,32,109,0
1.43E+12,-29,49,126,74,12,-1,-22,-34,0
1.43E+12,-64,-69,98,-2,-4,2,12,-27,0
1.43E+12,-33,-14,3,-20,-4,-2,40,111,0
1.43E+12,-25,27,39,12,-7,-8,-16,12,0
1.43E+12,-27,-32,15,17,7,-1,1,-23,0
1.43E+12,19,7,-94,24,12,5,-27,-58,0
1.43E+12,17,50,-58,1,7,2,-9,-49,0
1.43E+12,40,36,-92,-27,3,1,-18,-42,0
1.43E+12,-42,-84,11,39,9,-7,-55,-119,0
1.43E+12,-32,-90,-47,-88,-34,-13,16,25,0
1.43E+12,29,-20,-23,-15,-2,4,13,9,0
1.43E+12,-22,-2,-65,43,-5,-6,44,98,0
1.43E+12,-38,-24,26,-106,-13,-2,26,99,0
1.43E+12,57,30,-52,-47,1,7,38,-5,0
1.43E+12,29,68,55,43,17,12,7,23,0
1.43E+12,37,-4,37,-94,-18,-5,-3,-25,0
1.43E+12,-18,-15,23,7,6,1,-12,-25,0
1.43E+12,68,21,0,-1,7,1,-35,-103,0
1.43E+12,-34,-55,-76,-8,-6,-5,-1,8,0
1.43E+12,-28,61,116,19,-5,1,4,12,0
1.43E+12,-48,-2,47,33,10,3,0,52,0
1.43E+12,-16,-7,-19,66,6,-2,1,-13,0
1.43E+12,-102,-30,-91,-25,-21,-10,9,60,0
1.43E+12,29,34,14,-57,-29,-7,25,84,0
1.43E+12,-32,-49,84,8,10,0,-23,-92,0
1.43E+12,79,-1,-80,22,15,8,22,51,0
1.43E+12,22,-17,8,26,10,1,-6,0,0
1.43E+12,106,-17,-13,93,14,12,47,63,0
1.43E+12,8,36,-43,-1,-16,-15,-34,-60,0
1.43E+12,33,26,-3,51,-6,-13,-105,-94,0
1.43E+12,-25,-79,127,52,5,1,-16,-68,0
1.43E+12,-30,22,-37,-47,12,4,-10,-32,0
1.43E+12,32,13,11,27,3,-1,7,41,0
1.43E+12,8,3,-18,-78,-17,-3,63,98,0
1.43E+12,21,43,127,-25,-18,-10,6,77,0
1.43E+12,-57,48,-54,47,11,4,-21,-48,0
1.43E+12,44,16,94,-81,3,9,25,48,0
1.43E+12,-31,-40,3,41,17,6,3,27,0
1.43E+12,-34,-14,-8,-31,-7,-5,-6,-55,0
1.43E+12,-27,-8,57,8,-2,-8,-20,30,0
1.43E+12,42,16,-15,21,8,3,-13,-16,0
1.43E+12,54,31,-42,-34,-7,2,15,47,0
1.43E+12,3,-11,-41,14,26,17,-2,-60,0
1.43E+12,21,5,-5,23,13,6,2,-23,0
1.43E+12,-25,-23,30,12,2,4,13,-7,0
1.43E+12,-15,1,-3,21,-16,-10,-24,-56,0
1.43E+12,-25,-17,5,65,5,-1,4,-23,0
1.43E+12,-37,15,36,6,5,-1,-42,-94,0
1.43E+12,12,2,-5,19,3,1,-10,-28,0
1.43E+12,-1,-33,53,12,-1,2,12,37,0
1.43E+12,-21,47,62,-4,-2,-5,-18,-23,0
1.43E+12,-93,-20,17,29,5,-4,-55,-85,0
1.43E+12,-13,-25,-5,32,-6,-9,-1,-13,0
1.43E+12,68,14,-63,17,10,7,16,24,0
1.43E+12,-50,-9,-57,59,13,8,38,102,0
1.43E+12,24,10,-7,-86,-23,-10,-19,-76,0
